,places,longitude,latitude
236,Villeneuve-Saint-Georges,2.44782,48.7305272
237,Houilles,2.1868998,48.9229416
238,Épinal,6.4503643,48.1747684
239,Lens,2.8319805,50.4291723
240,Liévin,2.7738,50.4245
241,Les Mureaux,1.909928,48.9931578
242,Schiltigheim,7.7484488,48.6047148
243,La Possession,55.3362758,-20.9269658
244,Meyzieu,5.0044767,45.7764637
245,Dreux,1.3684254,48.7358807
246,Nogent-sur-Marne,2.4916592,48.8387639
247,Plaisir,1.9476363,48.817399
248,Mont-de-Marsan,-0.500972,43.8911318
249,Palaiseau,2.2453842,48.7144587
250,Châtellerault,0.545812,46.8180047
251,Goussainville,2.4733628,49.0323168
252,L'Haÿ-les-Roses,2.3373021,48.7790514
253,Viry-Châtillon,2.3750351,48.6708729
254,Vigneux-sur-Seine,2.4172117,48.6998552
255,Chatou,2.1573695,48.8897044
256,Trappes,1.9988356,48.7760957
257,Clichy-sous-Bois,2.5460722,48.910939
258,Rillieux-la-Pape,4.8994366,45.823514
259,Villenave-d'Ornon,-0.5595029,44.7737872
260,Maubeuge,3.9674127,50.2796417
261,Charenton-le-Pont,2.4159508,48.8198479
262,Malakoff,2.3019814,48.8211559
263,Matoury,-52.3268695,4.8496712
264,Dieppe,1.0791444,49.9246182
265,Athis-Mons,2.3890941,48.7079028
266,Savigny-le-Temple,2.5798953,48.5958681
267,Périgueux,0.7184407,45.1909365
268,Baie-Mahault,-61.5870766,16.2679458
269,Vandoeuvre-lès-Nancy,6.1724618,48.6599676
270,Pontoise,2.1008067,49.0508845
271,Aix-les-Bains,5.9146362,45.6886292
272,Cachan,2.3340758,48.7945413
273,Vienne,0.4654070096639711,46.612116549999996
274,Thiais,2.391024,48.7643664
275,Orange,4.8078783,44.1371311
276,Saint-Médard-en-Jalles,-0.7170764,44.8958887
277,Villemomble,2.5076181,48.881886
278,Saint-Cloud,2.219344,48.8437412
279,Saint-Laurent-du-Var,7.1906969,43.6690101
280,Yerres,2.4879753,48.716811
281,Saint-Étienne-du-Rouvray,1.09163,49.3831
282,Sotteville-lès-Rouen,1.089746,49.4151549
283,Draveil,2.4083576,48.6851514
284,Le Chesnay,2.1257808,48.8264842
285,Bois-Colombes,2.2674892,48.9148269
286,Le Plessis-Robinson,2.2619632,48.7811049
287,La Garenne-Colombes,2.2465748,48.9069349
288,Lambersart,3.0223644,50.6477924
289,Soissons,3.327613,49.3837621
290,Pierrefitte-sur-Seine,2.3601022,48.9637589
291,Carpentras,5.0487681,44.0554043
292,Villiers-sur-Marne,2.5406696,48.8262055
293,Vanves,2.289259,48.8212037
294,Menton,7.5029213,43.7753495
295,Bergerac,0.487531,44.8534568
296,Ermont,2.2585679,48.9917676
297,Bezons,2.2105491,48.9250016
298,Grigny,2.065831,50.3856239
299,Guyancourt,2.0706084,48.7709414
300,Saumur,-0.0785177,47.2596224
301,Herblay,2.166162,48.9898588
302,Ris-Orangis,2.4151151,48.6538754
303,Villiers-le-Bel,2.3880847,49.0074999
304,Bourgoin-Jallieu,5.2828123,45.5872259
305,Vierzon,2.0691421,47.2217489
306,Le Gosier,-61.4931309,16.2072112
307,Décines-Charpieu,4.9633314,45.773606
308,Hénin-Beaumont,2.9469339,50.4191721
309,Fresnes,4.4384663,47.6093837
310,Aurillac,2.4433101,44.9285441
311,Sannois,2.2568296,48.9717267
312,Vallauris,7.05859,43.5761001
313,Illkirch-Graffenstaden,7.7116218,48.5298611
314,Alençon,0.0911374,48.4312059
315,Élancourt,1.949352,48.7681182
316,Tournefeuille,1.3466543,43.5827846
317,Bègles,-0.5488542,44.8074559
318,Gonesse,2.4500537,48.9863555
319,Oullins,4.8039331,45.7153254
320,Brunoy,2.5044613,48.6979312
321,Taverny,2.2234971,49.0265888
322,Armentières,2.882169,50.6867281
323,Montfermeil,2.5660399,48.8992679
324,Rambouillet,1.819207,48.6452851
325,Villeparisis,2.6176193,48.939344
326,Le Kremlin-Bicêtre,2.3570028,48.8125893
327,Sucy-en-Brie,2.5221284,48.7711323
328,Kourou,-52.64263,5.1581197
329,Montbéliard,6.7977564,47.5102368
330,Romainville,2.4358326,48.8852958
331,Cavaillon,5.0383522,43.8356808
332,Saint-Dizier,4.9473513,48.6371125
333,Brétigny-sur-Orge,2.3075288,48.6099887
334,Saint-Sébastien-sur-Loire,-1.4992075,47.2035029
335,Saintes,-0.6300671,45.7460663
336,La Teste-de-Buch,-1.1491319,44.6316943
337,Villeneuve-la-Garenne,2.3324727,48.9350488
338,Béthune,2.6402097,50.5292608
339,Bussy-Saint-Georges,2.7171086,48.8389953
340,Vichy,3.4203712,46.1239268
341,La Garde,6.0449399,45.0691999
342,Agde,3.4771629,43.3134787
343,Laon,3.620686,49.564665
344,Sens,3.282606,48.1978559
345,Lunel,4.1348062,43.6745265
346,Miramas,5.0025809,43.582733
347,Biarritz,-1.552726590666314,43.471143749999996
348,Le Grand-Quevilly,1.0507926,49.4068986
349,Orvault,-1.623206,47.2711217
350,Les Ulis,2.1701573,48.681708
